Designator,Mid X,Mid Y,Rotation,Layer
_8,96.75,-38.0,0.0,top
_7,129.9316,-58.3385,180.0,top
_6,93.79,-74.75,0.0,top
_5,82.81,-38.2,0.0,top
_4,106.7,-38.0,0.0,top
_3,160.395,-49.785,270.0,top
_2,85.35,-38.2,0.0,top
,89.21,-38.1,0.0,top
1,160.395,-52.325,270.0,top
10,91.75,-38.1,0.0,top
11,98.0,-38.0,0.0,top
12,99.25,-38.0,0.0,top
13,100.5,-38.0,0.0,top
14,96.33,-74.75,0.0,top
15,98.87,-74.75,0.0,top
16,101.41,-74.75,0.0,top
17,109.24,-38.0,0.0,top
18,111.78,-38.0,0.0,top
2_2,160.395,-54.865,270.0,top
2,146.895,-55.654,270.0,top
3,160.395,-57.405,270.0,top
4,160.395,-59.945,270.0,top
5,160.395,-62.485,270.0,top
6,160.395,-65.025,270.0,top
7,146.895,-59.154,270.0,top
8,128.6616,-58.3385,180.0,top
9,127.3916,-58.3385,180.0,top
DADADA,136.25,-75.145,0.0,top
DAWDAD,136.1,-53.52,0.0,top
